round,client_id,encrypt_time,plaintext_size,ciphertext_size,aggregate_time,broadcast_size
48,0,266.21577249467373,16871331,32585854528,266.7025082707405,16871331
48,1,263.924998216331,16871331,32585818715,266.7025082707405,16871331
49,0,267.5694835036993,16871331,32585779827,256.94731433689594,16871333
49,1,265.9443259574473,16871331,32585882851,256.94731433689594,16871333
50,0,265.8946129232645,16871331,32585798068,266.7004983909428,16871331
50,1,263.39063961431384,16871331,32585829017,266.7004983909428,16871331
51,0,266.60596026852727,16871331,32585804840,270.71726098656654,16871331
51,1,264.4422649666667,16871331,32585869851,270.71726098656654,16871331
52,0,266.6763750612736,16871331,32585856041,265.9559796564281,16871331
52,1,264.14152573794127,16871333,32585884169,265.9559796564281,16871331
53,0,265.70485408604145,16871331,32585820785,266.55369567498565,16871331
53,1,263.3756293579936,16871331,32585916451,266.55369567498565,16871331
54,0,266.3445932343602,16871331,32585853760,265.69038778170943,16871331
54,1,264.3958799727261,16871331,32585805768,265.69038778170943,16871331
55,0,266.0359405837953,16871333,32585806702,260.61735144257545,16871331
55,1,264.2394865117967,16871331,32585866427,260.61735144257545,16871331
56,0,264.63467033207417,16871331,32585898843,252.45090643316507,16871331
56,1,262.74091440811753,16871331,32585875658,252.45090643316507,16871331
57,0,267.96950570866466,16871331,32585920926,272.32449858635664,16871331
57,1,265.31974006816745,16871331,32585850919,272.32449858635664,16871331
58,0,266.5663500763476,16871331,32585843902,260.6516698785126,16871333
58,1,264.75612462311983,16871331,32585886760,260.6516698785126,16871333
59,0,266.6179569400847,16871331,32585873999,265.8762150295079,16871331
59,1,264.2644635848701,16871331,32585809644,265.8762150295079,16871331
60,0,263.17950676754117,16871331,32585863554,271.8091360293329,16871331
60,1,260.2546515762806,16871331,32585824342,271.8091360293329,16871331
61,0,263.49748558551073,16871331,32585858390,285.5203781835735,16871331
61,1,260.82587692141533,16871331,32585791806,285.5203781835735,16871331
62,0,266.0177525319159,16871331,32585837174,267.0937422141433,16871331
62,1,263.9877599850297,16871331,32585873753,267.0937422141433,16871331
63,0,266.04315922036767,16871333,32585817455,266.5472917854786,16871331
63,1,264.06345938518643,16871331,32585825953,266.5472917854786,16871331
64,0,266.6195241436362,16871331,32585800888,265.4379201643169,16871331
64,1,264.2822399735451,16871331,32585868229,265.4379201643169,16871331
65,0,267.1630355939269,16871331,32585800284,259.8477575518191,16871331
65,1,264.6922147460282,16871331,32585888565,259.8477575518191,16871331
66,0,265.4473721832037,16871331,32585829886,266.44936188310385,16871333
66,1,263.26904137805104,16871331,32585792372,266.44936188310385,16871333
67,0,263.3709671497345,16871331,32585833652,272.2090049535036,16871331
67,1,260.68918772786856,16871331,32585854625,272.2090049535036,16871331
68,0,263.9669657573104,16871331,32585829673,275.9980666190386,16871331
68,1,262.15004651993513,16871331,32585855097,275.9980666190386,16871331
69,0,264.5342683792114,16871331,32585887863,281.6915151178837,16871331
69,1,262.1217528022826,16871331,32585878156,281.6915151178837,16871331
70,0,266.08898071944714,16871331,32585858466,261.0154269859195,16871333
70,1,263.9205924831331,16871331,32585825887,261.0154269859195,16871333
71,0,262.983353741467,16871333,32585781862,273.587594691664,16871331
71,1,260.54769845306873,16871333,32585854504,273.587594691664,16871331
72,0,264.27835719287395,16871331,32585893058,281.24139450117946,16871333
72,1,262.1291585601866,16871331,32585843425,281.24139450117946,16871333
73,0,267.3236713297665,16871331,32585800193,263.3397978544235,16871331
73,1,265.12911876291037,16871333,32585785620,263.3397978544235,16871331
74,0,266.94140285626054,16871331,32585861065,262.15491515398026,16871333
74,1,264.2978021129966,16871333,32585874673,262.15491515398026,16871333
75,0,264.85253980383277,16871331,32585788071,279.885186009109,16871331
75,1,262.6501845046878,16871331,32585801996,279.885186009109,16871331
76,0,265.27522369101644,16871333,32585819722,276.73946157470345,16871331
76,1,262.92958349734545,16871333,32585788030,276.73946157470345,16871331
77,0,265.5316180177033,16871331,32585828585,276.297136425972,16871333
77,1,263.23124983534217,16871331,32585835344,276.297136425972,16871333
78,0,265.56522960588336,16871331,32585813381,284.88654734939337,16871331
78,1,262.32655107975006,16871333,32585858951,284.88654734939337,16871331
79,0,265.17680722102523,16871331,32585832318,285.3271621465683,16871335
79,1,262.8275442160666,16871333,32585867995,285.3271621465683,16871335
80,0,264.5691043622792,16871331,32585803545,281.38756554946303,16871333
80,1,261.5813440307975,16871331,32585816072,281.38756554946303,16871333
81,0,266.58172084391117,16871331,32585836837,294.19066974520683,16871333
81,1,263.80321296304464,16871331,32585840087,294.19066974520683,16871333
82,0,266.4744280464947,16871331,32585845841,272.96458008140326,16871331
82,1,264.20795154199004,16871331,32585810168,272.96458008140326,16871331
83,0,264.17960504442453,16871333,32585845558,283.4223202839494,16871333
83,1,261.3424947075546,16871331,32585859005,283.4223202839494,16871333
84,0,265.75615641474724,16871331,32585856449,281.2752075381577,16871333
84,1,263.680795378983,16871333,32585876842,281.2752075381577,16871333
85,0,265.0918212160468,16871333,32585906162,278.89344289153814,16871331
85,1,262.65111161768436,16871331,32585854932,278.89344289153814,16871331
86,0,262.29966178163886,16871333,32585879980,287.722075805068,16871331
86,1,260.01302348449826,16871331,32585810620,287.722075805068,16871331
87,0,261.83442106470466,16871333,32585806989,295.8501001484692,16871331
87,1,259.8811617270112,16871331,32585940341,295.8501001484692,16871331
88,0,264.79460026696324,16871331,32585927492,304.4772178530693,16871331
88,1,261.9649770334363,16871331,32585858208,304.4772178530693,16871331
89,0,264.8485275544226,16871333,32585820754,282.87256233766675,16871333
89,1,262.2900199741125,16871331,32585934731,282.87256233766675,16871333
90,0,263.67268846556544,16871331,32585833713,294.54397689551115,16871331
90,1,260.9094888046384,16871331,32585898153,294.54397689551115,16871331
91,0,263.8177218362689,16871331,32585818808,300.19190426543355,16871331
91,1,261.1074980124831,16871331,32585852486,300.19190426543355,16871331
92,0,264.89428336545825,16871331,32585819091,296.035351652652,16871331
92,1,262.09133618697524,16871331,32585821104,296.035351652652,16871331
93,0,264.8048519529402,16871333,32585869585,284.7864042632282,16871331
93,1,261.69452334195375,16871331,32585827151,284.7864042632282,16871331
94,0,262.50075697526336,16871333,32585819137,307.8911887332797,16871331
94,1,260.08932656794786,16871331,32585808390,307.8911887332797,16871331
95,0,263.37732884660363,16871331,32585958157,300.14232870563865,16871331
95,1,261.352986805141,16871331,32585907933,300.14232870563865,16871331
96,0,263.61364353075624,16871331,32585895299,298.60511204972863,16871335
96,1,261.4085999466479,16871333,32585811915,298.60511204972863,16871335
97,0,264.70741763338447,16871331,32585907540,278.1526688300073,16871333
97,1,262.0308512188494,16871333,32585876642,278.1526688300073,16871333
98,0,264.37959142029285,16871331,32585837716,280.983793977648,16871331
98,1,261.6709944792092,16871331,32585879660,280.983793977648,16871331
99,0,264.54404973611236,16871331,32585843540,301.7375830449164,16871331
99,1,261.4351400025189,16871333,32585847525,301.7375830449164,16871331
100,0,265.2011977918446,16871331,32585908693,280.18938694894314,16871331
100,1,262.094606526196,16871331,32585927972,280.18938694894314,16871331
