round,client_id,steps,mean_loss,token_weighted_mean_loss,min_loss,max_loss,final_loss,final_moving_avg_loss,perplexity,supervised_tokens,mean_step_time,train_time
6,1,300,1.030503462664783,1.2643226493343258,0.04956940934062004,3.780176877975464,1.0563938617706299,1.1385319001972676,3.5406936324945746,6708,0.682144329107056,204.77542208693922
7,0,300,1.0126935630043348,1.1090798598476492,0.049601007252931595,4.371140480041504,1.5367944240570068,0.9525997437536716,3.0315676435781933,6144,0.6775610374286771,203.39744570478797
7,1,300,0.9254864556714892,1.107263346027452,0.04320921376347542,3.7647743225097656,0.41172486543655396,0.8910547576844692,3.026065757695533,6341,0.6804969183976451,204.2764009386301
8,0,300,0.9600048434113463,1.1754034192505696,0.03132627159357071,4.7579545974731445,2.1996026039123535,0.9953925475478173,3.2394495365722116,6731,0.6771285225388904,203.26811627857387
8,1,300,0.9729875517574449,1.3520331342951977,0.02949555777013302,3.8145270347595215,1.2021958827972412,0.9472541511058807,3.865276172835183,7168,0.6804373002673189,204.25964492931962
9,0,300,0.8184859580049912,0.8691973503945352,0.016558729112148285,3.1109955310821533,1.546567440032959,0.602092919871211,2.3849957691430927,5987,0.675946759476016,202.91355087980628
9,1,300,0.9736622148255507,1.3035743832355364,0.04377400875091553,3.580831527709961,1.0067284107208252,1.203282744437456,3.682435607929356,7040,0.6802296567211549,204.1949995327741
10,0,300,0.9122398351629575,1.1401622217079392,0.05738105624914169,3.854456901550293,0.46171504259109497,1.0612059120088815,3.127275636034746,6303,0.6776141106771926,203.41332184895873
10,1,300,0.9835706090865036,1.2423144632502636,0.023906445130705833,3.5929129123687744,1.4555193185806274,0.9967259615659714,3.463620617690227,6514,0.6810760757823785,204.4492852166295
11,0,300,0.9399550620776912,1.2071220193847223,0.021182416006922722,3.778831958770752,1.2609997987747192,0.8646789483726025,3.3438472634868317,6176,0.6757909399208923,202.86744040064514
11,1,300,0.9505406851693988,1.2747963019613797,0.046016816049814224,4.980836868286133,0.604888916015625,0.8591699603945017,3.5779725098838266,6651,0.6810888502560556,204.45485357567668
12,0,300,0.9512467211686696,1.148117542469946,0.007585278246551752,4.26813268661499,2.188718318939209,1.1759529799222945,3.1522533379153432,6782,0.6746839204244316,202.5291003473103
12,1,300,0.9055263660599788,1.2060663398648315,0.01659788377583027,4.910987854003906,0.1602911651134491,0.8499116696417331,3.340319095048374,6648,0.681139341207842,204.47217976674438
13,0,300,0.8625665660730253,1.0655587661290304,0.007193791680037975,3.608506917953491,0.10384774208068848,1.2262052945792674,2.9024603275634298,6339,0.6806578109040856,204.3304531313479
13,1,300,0.8933367443705599,1.03316265699141,0.0020689405500888824,3.78039813041687,0.7967476844787598,0.89627326130867,2.809938668613896,7075,0.6794195812816421,203.9541081506759
14,0,300,0.9182208301809927,1.21997371091712,0.019517356529831886,3.547531843185425,1.3860950469970703,1.1214897453784942,3.387098688732735,8151,0.6777864433266223,203.46649833582342
14,1,300,0.8961460789541403,1.2667330699328156,0.015098098665475845,4.106447696685791,0.534637451171875,1.006666723638773,3.549238487569399,6465,0.6816292246679465,204.61733601428568
15,0,300,0.8368675540061667,1.1980130931601771,0.0060043311677873135,4.088682651519775,0.4652971625328064,0.7544866461306811,3.313526708952242,7676,0.6742395107075572,202.39736791700125
15,1,300,0.9439162182155997,1.3159473478968182,0.004667098633944988,3.9210152626037598,0.42319467663764954,0.9721846766769886,3.7282812922136754,7768,0.6819110370613635,204.70373645052314
16,0,300,0.7608463373097281,0.919001217501092,0.02570960856974125,3.8438994884490967,0.5958019495010376,0.573243860900402,2.506785405785557,5972,0.6773279664789637,203.32502071745694
16,1,300,0.8702374399080872,1.2012922304911657,0.014682874083518982,3.159646511077881,1.865419626235962,1.1791582269594074,3.3244100523174063,6972,0.6797376043287416,204.04885069094598
17,0,300,0.8169805946387351,0.9409825824618206,0.01637403853237629,3.349083185195923,0.5464610457420349,0.7660358898341656,2.56249804736881,6511,0.6777316184155643,203.45657678693533
17,1,300,0.8845064951945096,1.0284035384186376,0.012077691964805126,3.6883907318115234,0.2798791229724884,0.9823541678488255,2.7965976083319912,5819,0.6823910790868104,204.84914582781494
18,0,300,0.8406640751411517,1.0684894542752574,0.015266178175807,3.2597270011901855,1.3968034982681274,0.7603695787489414,2.910979010344439,4487,0.6765973113166789,203.10390278324485
18,1,300,0.8369447581470013,1.0143288525702467,0.03345832601189613,2.9710328578948975,1.84175705909729,1.0141419112682342,2.7575120790476384,6653,0.6814126497507096,204.55162660963833
19,0,300,0.8220456369252255,0.9836065525480633,0.012453700415790081,4.046918869018555,0.5854946374893188,0.6753371462225914,2.674083092814867,6011,0.6768074252642691,203.1699946653098
19,1,300,0.7678144836922487,1.220131972455305,0.013591294176876545,3.479599714279175,0.017742469906806946,0.6838694733567536,3.387634778601283,7107,0.6795065576396883,203.9792819172144
20,0,300,0.863504441822491,1.0555643423571663,0.001175100333057344,3.8405447006225586,1.4916564226150513,0.892786605656147,2.873596388552086,6409,0.6715700959973038,201.58884724788368
20,1,300,0.8812626724410803,1.0665215570526474,0.010188131593167782,4.915150165557861,3.5882842540740967,1.019807516038418,2.905256135696345,6760,0.6818615485355258,204.68400979042053
